   ,title,gender_book,author_book,,,,,
124,"Educação ambiental – natureza, razão e história",BIOLOGIA,Marília Freitas de Campos Toloni Reis,,,,,
125,Educação e Política no limite do século XXI,,Lúcia Maria W. Neves (Org.),,,,,
126,Educação e Política no limite do século XXI,,Lúcia Maria W. Neves (Org.),,,,,
127,Unidades de Leitura – Trilogia pedagógica,,Ezequiel Thedoro da Silva,,,,,
128,Unidades de Leitura – Trilogia pedagógica,,Ezequiel Thedoro da Silva,,,,,
129,Arte e Sociedade no Brasil de 1930 a 1956 - Vol. 1,ARTES,Aracy Amaral e outros,,,,,
130,Arte e Sociedade no Brasil de 1930 a 1956 - Vol. 1,ARTES,Aracy Amaral e outros,,,,,
131,Arte e sociedade no Brasil de 1957 a 1975 - Vol. 2,ARTES,Aracy Amaral e outros,,,,,
132,Arte e sociedade no Brasil de 1957 a 1975 - Vol. 2,ARTES,Aracy Amaral e outros,,,,,
133,Filhos e Cenas,ASSUNTOS DIVERSOS,Lívia Garcia Roza,,,,,
134,Filhos e Cenas,ASSUNTOS DIVERSOS,Lívia Garcia Roza,,,,,
135,Os melhores contos (cópia),,Malba Tahan,,,,,
136,A dança do universo.,FÍSICA,Marcelo Gleiser,,,,,
N.º do Reg.,TÍTULO,,AUTOR,,,,,
137,A ditadura derrotada,HISTÓRIA,Enio Gasparini,,,,,
138,A ditadura envergonhada,HISTÓRIA,Enio Gasparini,,,,,
139,A ditadura escancarada,HISTÓRIA,Enio Gasparini,,,,,
140,A jangada de pedra,LITERATURA ESTRANGEIRA,José Saramago,,,,,
141,"A tripla hélice: gene, organismo e ambiente ",FÍSICA,Richard Lewontin,,,,,
142,"A tripla hélice: gene, organismo e ambiente ",FÍSICA,Richard Lewontin,,,,,
143,As dez maiores descobertas da medicina,,Meyer Friedman/Gerald. W Friedland,,,,,
144,As sete maiores descobertas cientificas da história.,,David Eliot Brody,,,,,
145,Caminhos Cruzados.,,Érico Veríssimo,,,,,
145,Caminhos Cruzados.,,Érico Veríssimo,,,,,
146,Lis no peito - Um livro que pede perdão,LITERATURA BRASILEIRA,Jorge Miguel Marinho,,,,,
147,Estação Carandiru,LITERATURA BRASILEIRA,Dráuzio Varela,,,,,
148,Sexo - Não estou entendendo nada!,ASSUNTOS DIVERSOS,Ivan Jaf,,,,,
149,Cecília Mireles - Antologia Poética ,LITERATURA BRASILEIRA,Cecília Mireles,,,,,
150,O futuro do espaço-tempo,,"Stephen W. Hawking, S. Sthrore, Igor Novikov et al",,,,,
151,O livro das religiões,ASSUNTOS DIVERSOS,J. Gaarder e V. Hellern,,,,,
152,O mundo de Sofia,LITERATURA ESTRANGEIRA,Jostsin Garden,,,,,
153,O universo elegante,FÍSICA,Brian Greene,,,,,
154,Olga,BIOGRAFIA,Fernando de Morais,,,,,
155,O melhor do conto brasileiro,CONTO,Orígens Lessa e outros,,,,,
156,200 dias de leitura e escrita na escola         (aprender oficinas fazendo),LINGUAGENS,Rossana Ramos,,,,,
157,200 dias de leitura e escrita na escola         (aprender oficinas fazendo),LINGUAGENS,Rossana Ramos,,,,,
N.º do Reg.,TÍTULO,,AUTOR,,,,,
158,Histórias e memórias do CEPA - Suas lutas e conquistas,,SEDUC Col. Rede de Palavras,,,,,
159,AIDS e Escola – reflexões e propostas educacionais,ASSUNTOS DIVERSOS,Therezinha Pinto e Izabel da Silva Telles (org.),,,,,
160,Olhos que pintam (a leitura da imagem e o ensino da arte),ARTES,Anamélia Bueno Buoro,,,,,
161,Olhos que pintam (a leitura da imagem e o ensino da arte),ARTES,Anamélia Bueno Buoro,,,,,
162,Análise estrutural de romances brasileiros,LINGUAGENS,Affonso Romano de Santana,,,,,
163,Arte na educação escolar,ARTES,Maria F. de Rezende e Fusari,,,,,
164,Arte na educação escolar,ARTES,Maria F. de Rezende e Fusari,,,,,
165,Avaliação da aprendizagem escolar,LINGUAGENS,Cipriano Carlos Luckesi,,,,,
166,Caminhos da escrita: espaços da aprendizagem.,LINGUAGENS,Eliac Bajard,,,,,
167,Caminhos da escrita: espaços da aprendizagem.,LINGUAGENS,Eliac Bajard,,,,,
168,Concepção dialética da educação um estudo introdutório.,FORMAÇÃO DO PROFESSOR,Moacir Gadotti,,,,,
169,Concepção dialética da educação um estudo introdutório.,FORMAÇÃO DO PROFESSOR,Moacir Gadotti,,,,,
170,Dança e educação em movimento.,ARTES,"Julieta Calazans, Jacyan Castilho e Simone Gomes",,,,,
171,Dança e educação em movimento.,ARTES,"Julieta Calazans, Jacyan Castilho e Simone Gomes",,,,,
172,Descentralização da educação – novas formas de coordenação e financiamento.,FORMAÇÃO DO PROFESSOR,Vera M. Ribeiro e outros,,,,,
173,Descentralização da educação – novas formas de coordenação e financiamento.,FORMAÇÃO DO PROFESSOR,Vera M. Ribeiro e outros,,,,,
174,Desvendando os segredos do texto                  ,LINGUAGENS,Ingedore G. Villaça Koch,,,,,
,,LINGUAGENS,,,,,,
175,Desvendando os segredos do texto,LINGUAGENS,Ingedore G. Villaça Koch,,,,,
176,Gestão para o sucesso escolar,FORMAÇÃO DO PROFESSOR,SEDUC,,,,,
N.º do Reg.,TÍTULO,,AUTOR,,,,,
177,Didática e formação de professores – percursos e perspectivas no Brasil. ,FORMAÇÃO DO PROFESSOR,Selma G. Pimenta,,,,,
178,Didática e formação de professores – percursos e perspectivas no Brasil. ,FORMAÇÃO DO PROFESSOR,Selma G. Pimenta,,,,,
179,Educação e novas tecnologias esperança ou incerteza?,FORMAÇÃO DO PROFESSOR,Juan Carlos Tedesco (Org.),,,,,
180,Ensino de Ciências – fundamentos e métodos.,,Demétrio Delizoicov/André Angotti/Marta Maria,,,,,
181,Ensino de Ciências – fundamentos e métodos.,,Demétrio Delizoicov/André Angotti/Marta Maria,,,,,
182,Ensino de História – fundamentos e métodos.,,Circe Maria F. Bittencourt,,,,,
183,Ensino de História – fundamentos e métodos.,,Circe Maria F. Bittencourt,,,,,
184,A experiência do Programa Brasileiro de Aids.,,_,,,,,
185,A lingüística textual : texto e textualidade.,LINGUAGENS,Maria Antonieta Hollanda Carvalho/Maria Irene R. de Lima,,,,,
186,A lingüística textual : texto e textualidade.,LINGUAGENS,Maria Antonieta Hollanda Carvalho/Maria Irene R. de Lima,,,,,
187,A lingüística textual : texto e textualidade.,LINGUAGENS,Maria Antonieta Hollanda Carvalho/Maria Irene R. de Lima,,,,,
188,A lingüística e o ensino de português,LINGUAGENS,M. do Socorro S. de Aragão/Rita de Cássia de Oliveira,,,,,
189,A lingüística e o ensino de português,LINGUAGENS,M. do Socorro S. de Aragão/Rita de C.de Oliveira,,,,,
190,A lingüística e o ensino de português,LINGUAGENS,M. do Socorro S. de Aragão/Rita de C. de Oliveira,,,,,
191,"A língua que falamos: português: história, variação e discurso",LINGUAGENS,Luiz Antônio da Silva,,,,,
192,"A língua que falamos: português: história, variação e discurso",LINGUAGENS,Luiz Antônio da Silva,,,,,
N.º do Reg.,TÍTULO,,AUTOR,,,,,
193,A imprensa e o caos na ortografia,LINGUAGENS,Marcos Castro,,,,,
194,A imprensa e o caos na ortografia,LINGUAGENS,Marcos Castro,,,,,
195,A Literatura no Brasil: Introdução geral - Vol. 1,LITERATURA,Afrânio Coutinho,,,,,
196,A Literatura no Brasil: Introdução geral - Vol. 1,LITERATURA,Afrânio Coutinho,,,,,
197,A Literatura no Brasil: era barroca - era neoclássica,LITERATURA,Afrânio Coutinho,,,,,
198,A Literatura no Brasil: era barroca /era neoclássica - vol. 2,LITERATURA,Afrânio Coutinho,,,,,
199,A Literatura no Brasil: era romântica - vol. 3 ,LITERATURA,Afrânio Coutinho,,,,,
200,A Literatura no Brasil: era romântica - vol. 3 ,LITERATURA,Afrânio Coutinho,,,,,
201,A Literatura no Brasil: era realista - Vol. 4,LITERATURA,Afrânio Coutinho,,,,,
202,A Literatura no Brasil: era realista - Vol. 4,LITERATURA,Afrânio Coutinho,,,,,
203,A Literatura no Brasil: era modernista - Vol. 5,LITERATURA,Afrânio Coutinho,,,,,
204,A Literatura no Brasil: era modernista - Vol. 5,LITERATURA,Afrânio Coutinho,,,,,
205,A Literatura no Brasil: relações e perspectivas - conclusão - Vol. 6,LITERATURA,Afrânio Coutinho,,,,,
206,A Literatura no Brasil: relações e perspectivas - conclusão - Vol. 6,LITERATURA,Afrânio Coutinho,,,,,
207,A Prática de linguagem em sala de aula : praticando os PCNs,LINGUAGENS,Roxane Rojo (Org.),,,,,
208,Aprender e ensinar com textos didáticos e paradidáticos - Vol. 2,LINGUAGENS,Helena Brandão e Guaraciaba Micheletti,,,,,
209,Aprender eensinar com textos didáticos e paradidáticos - Vol. 2,LINGUAGENS,Helena Brandão e Guaraciaba Micheletti,,,,,
210,Escola Normal Rural CEMS,,SEDUC Col. Rede de Palavras,,,,,
211,Aprender e ensinar com textos não escolares - Vol. 3,LINGUAGENS,Adilson Citelli (Coord.),,,,,
N.º do Reg.,TÍTULO,,AUTOR,,,,,
212,Aprender e ensinar com textos não escolares -Vol. 3,LINGUAGENS,Adilson Citelli,,,,,
213,"Leitura e construção do real, o lugar da poesia e da ficção",LINGUAGENS,Guaraciaba Micheletti (Coord.),,,,,
214,"Leitura e construção do real, o lugar da poesia e da ficção",LINGUAGENS,Guaraciaba Micheletti (Coord.),,,,,
215,"Gênero do discurso na escola mito, conto, cordel e discurso.",LINGUAGENS,Helena Brandão (Coord.),,,,,
216,"Outras linguagens na escola – publicidade, cinema e TV",LINGUAGENS,Adilson Citelli (Coord.),,,,,
217,"Outras linguagens na escola – publicidade, cinema e TV",LINGUAGENS,Adilson Citelli (Coord.),,,,,
218,Decifrando a crase ,LINGUAGENS,Celso Pedro Luft,,,,,
219,Decifrando a crase ,LINGUAGENS,Celso Pedro Luft,,,,,
220,Curso de redação,LINGUAGENS,Antônio Suárez Abreu,,,,,
221,Curso de redação,LINGUAGENS,Antônio Suárez Abreu,,,,,
222,Professores-leitores e sua  formação,FORMAÇÃO DO PROFESSOR,Ludmila Tomé de Andrade,,,,,
